Name,Pos,Off. Role,Minutes,MPG,BPM,OBPM,DBPM,Contribution,VORP
Diamond Miller,3.1,4.6,89.0,9.9,-12.0,-10.1,-1.9,-1.2,-0.55
Sika Koné,3.7,3.8,36.0,2.8,-5.3,-3.2,-2.1,-0.2,-0.07
Taylor Soule,5.0,4.1,3.0,1.5,-23.8,-21.6,-2.2,-0.1,-0.04
Alyssa Thomas,3.1,1.3,718.0,34.2,8.0,4.0,4.0,6.8,4.43
DeWanna Bonner,3.6,3.0,688.0,32.8,4.3,2.9,1.4,3.5,2.68
DiJonai Carrington,3.3,3.4,619.0,29.5,0.4,0.1,0.3,0.3,0.92
Tyasha Harris,1.6,3.0,608.0,30.4,1.0,0.3,0.7,0.7,1.13
Brionna Jones,3.4,2.6,534.0,25.4,5.7,3.5,2.2,3.6,2.54
Tiffany Mitchell,2.4,4.4,344.0,16.4,-4.9,-4.1,-0.8,-2.0,-0.62
Olivia Nelson-Ododa,4.9,4.8,244.0,12.8,-4.8,-5.9,1.1,-1.4,-0.42
Rachel Banham,2.7,4.4,229.0,12.7,-3.4,-4.1,0.7,-0.9,-0.2
Veronica Burton,1.7,2.2,140.0,11.7,5.6,1.9,3.7,0.9,0.66
Moriah Jefferson,1.0,3.6,61.0,6.8,3.5,-2.5,6.0,0.3,0.21
Astou Ndour-Fall,4.6,4.7,59.0,4.5,-7.5,-6.5,-1.0,-0.5,-0.2
Queen Egbo,5.0,4.8,7.0,2.3,-34.5,-19.5,-15.0,-0.3,-0.14
Jewell Loyd,2.3,2.6,722.0,34.4,1.7,1.6,0.01,1.4,1.65
Skylar Diggins-Smith,1.4,1.9,668.0,31.8,1.3,0.7,0.6,1.0,1.36
Ezi Magbegor,4.9,3.0,666.0,31.7,5.5,1.6,3.9,4.3,3.08
Nneka Ogwumike,3.5,2.2,577.0,32.1,7.8,4.9,2.9,5.3,3.49
Jordan Horston,3.2,3.6,504.0,24.0,1.6,-1.2,2.8,0.9,1.12
Sami Whitcomb,1.9,3.8,328.0,15.6,-0.4,-2.6,2.2,-0.2,0.32
Mercedes Russell,3.7,4.0,305.0,15.2,-1.5,-3.0,1.5,-0.5,0.09
Victoria Vivians,3.3,4.3,290.0,14.5,-2.4,-3.1,0.7,-0.8,-0.07
Joyner Holmes,3.1,3.3,89.0,8.1,0.5,-1.1,1.6,0.1,0.14
Kiana Williams,1.5,4.4,40.0,3.3,-11.6,-6.7,-4.9,-0.5,-0.24
Dulcy Fankam Mendjiadeu,4.5,4.4,36.0,5.1,-9.5,-7.0,-2.5,-0.4,-0.17
Nika Mühl,2.4,5.0,26.0,2.6,-18.2,-14.6,-3.6,-0.6,-0.26
